resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F2,Thin F3,Thin F4,Temp_Etching,Source_Power,Selectivity,etch_rate_stage1,Flux60s,Flux90s,Flux160s,Flux480s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Temp_OXid,ppm,Pressure,Oxid_time,oxid_thickness_spec_gap,oxidation_rate_nm_per_min,oxidation_sentinel_flag,etching_sentinel_flag,ion_implant_sentinel_flag,type,Vapor,Target,Lot_Num,group_id,error_class
1.426,17.362,15.112,19.893,200.511,89.963,502.276,4017.015,4903.689,5.105,91.947,29.911,41.548,365,505.405,109.653,3644.0,1522.0,340.0,72.628,52.08,1.188,2088.0,1.5e+16,1.32e+17,6.47e+17,3.01e+17,30795.856,103.513,854.0,154,1214.33,26.78,0.3,120,-12.980000000000018,5.9415,False,False,False,dry,O2,141,13,13_28,none
1.141,16.48,14.846,19.987,199.833,89.978,500.186,3978.666,4999.798,5.014,91.897,29.83,28.968,365,468.97,106.477,3643.0,1385.0,211.0,71.731,50.453,0.85,2046.0,4080000000000000.0,7600000000000000.0,8.46e+17,3e+17,32632.232,101.111,905.0,152,1295.7,33.01,0.02,25,-15.92999999999995,28.6372,False,False,False,wet,H2O,45,29,29_42,none
1.989,19.169,14.834,19.813,199.806,89.997,499.787,4056.107,4996.352,4.938,91.703,30.02,29.899,365,473.562,106.013,3647.0,1482.0,190.0,71.906,50.838,0.902,2064.0,4590000000000000.0,3430000000000000.0,1.23e+17,2.99e+17,32636.718,101.861,908.0,153,1280.01,38.09,-0.01,25,-17.25999999999999,28.6904,True,False,False,wet,H2O,54,29,29_43,none
1.879,18.963,14.906,19.967,199.054,89.926,498.914,4029.014,4975.807,4.805,91.372,30.14,20.012,365,463.555,105.417,3644.0,1384.0,175.0,71.186,50.312,0.952,2086.0,1.61e+16,1.53e+17,1.17e+18,3e+17,32666.383,100.803,904.0,151,1274.98,39.85,0.2,24,-12.83000000000004,29.70125,False,False,False,wet,H2O,84,29,29_44,none
1.686,13.81,14.925,19.849,198.629,89.89,498.586,3971.279,4961.535,5.106,92.016,30.136,36.508,365,480.398,106.592,3647.0,1473.0,202.0,71.446,50.854,0.927,2090.0,5060000000000000.0,2.07e+16,6.9e+17,3e+17,32646.43,102.042,908.0,153,1278.3,35.63,-0.07,23,-14.710000000000036,31.07434782608696,True,False,False,wet,H2O,30,29,29_45,none
1.012,18.732,15.158,19.906,199.938,89.978,499.871,4035.571,4997.65,5.157,92.105,29.931,35.319,365,470.627,107.331,3648.0,1371.0,313.0,72.144,50.882,1.05,2092.0,8130000000000000.0,1.82e+16,3.78e+16,3e+17,32682.765,102.156,913.0,153,1276.61,28.53,0.33,24,-21.480000000000015,30.061666666666667,False,False,False,wet,H2O,49,29,29_46,none
1.559,20.834,14.945,20.001,200.433,89.863,500.427,3952.636,5010.798,4.984,92.003,30.021,42.638,365,484.866,106.981,3639.0,1272.0,224.0,71.68,50.838,1.114,2075.0,2.06e+16,7.74e+16,4.67e+17,3e+17,32673.338,102.446,913.0,154,1293.89,34.43,0.35,25,-15.360000000000014,28.6144,False,False,False,wet,H2O,15,29,29_47,none
0.915,11.347,15.016,19.858,200.119,89.947,500.166,3972.439,5005.284,5.013,91.584,29.976,38.258,365,483.424,106.875,3641.0,1408.0,333.0,71.208,50.741,1.066,2086.0,1.21e+16,1.37e+16,3070000000000000.0,3e+17,32653.566,101.907,912.0,153,1289.8,35.0,0.1,26,-13.049999999999956,27.425,False,False,False,wet,H2O,66,29,29_48,none
0.958,15.206,15.005,20.141,199.591,90.092,499.715,4017.157,4988.878,5.145,91.954,29.945,34.685,365,474.069,106.824,3643.0,1361.0,269.0,71.436,50.762,1.17,2078.0,1.81e+16,1070000000000000.0,3.59e+17,3e+17,32677.291,102.06,913.0,153,1290.28,44.63,0.61,25,-14.17999999999995,28.5672,False,False,False,wet,H2O,78,29,29_49,none
1.432,12.45,14.913,19.905,199.172,90.092,499.259,4072.994,4978.749,5.069,91.636,29.994,35.814,365,478.445,106.665,3645.0,1360.0,216.0,71.602,50.828,0.802,2086.0,2440000000000000.0,3.82e+16,1875907865.085,2.98e+17,32696.267,101.904,913.0,153,1293.58,44.47,0.09,25,-14.990000000000007,28.5996,False,False,False,wet,H2O,96,29,29_50,none
1.844,19.689,14.797,19.932,199.731,89.958,499.648,4084.874,4990.776,5.068,92.005,30.013,39.65,365,486.265,106.237,3658.0,1521.0,236.0,71.447,50.694,1.109,2040.0,1.05e+16,1.18e+17,1.05e+17,3e+17,32701.035,101.685,912.0,153,1280.23,44.66,0.27,25,-15.210000000000036,28.608400000000003,False,False,False,wet,H2O,33,29,29_51,none
1.468,15.959,15.016,19.967,199.754,89.929,500.035,4045.185,4995.536,4.976,92.24,29.826,32.015,365,474.651,106.092,3645.0,1465.0,151.0,72.419,50.608,1.165,2050.0,6910000000000000.0,1.09e+17,5.12e+17,3e+17,32451.369,101.305,913.0,152,1288.33,44.64,0.17,25,-24.389999999999983,28.9756,False,False,False,wet,H2O,117,29,29_52,none
0.749,17.487,14.965,20.001,199.939,90.093,500.202,4010.155,5001.942,4.909,91.781,30.029,20.987,365,466.291,105.187,3656.0,1471.0,207.0,71.985,50.611,0.937,2040.0,1.77e+16,7.78e+16,8.15e+17,3.01e+17,32534.391,101.072,904.0,152,1279.59,44.69,0.14,25,-19.17999999999995,28.7672,False,False,False,wet,H2O,186,29,29_53,none
0.781,16.604,14.95,19.983,199.197,90.147,499.252,3984.857,4981.269,4.968,91.938,29.833,31.875,365,481.557,105.707,3646.0,1596.0,212.0,71.201,50.161,1.06,2067.0,2.07e+16,1.45e+17,1.21e+18,3.02e+17,32621.545,100.551,905.0,151,1276.54,44.3,0.22,22,-13.91999999999996,32.450909090909086,False,False,False,wet,H2O,207,29,29_54,Edge-Loc
1.584,13.371,14.923,20.037,201.672,90.079,502.791,4094.987,5139.117,5.044,91.54,29.953,36.743,405,516.505,108.509,3636.0,1635.0,466.0,71.195,51.321,0.816,2088.0,1.35e+16,4.33e+16,6.72e+17,2.99e+17,31527.501,97.826,914.0,151,1016.1,32.43,0.09,74,-12.75,9.631756756756756,False,False,False,wet,H2O,110,9,9_1,none
1.077,12.561,15.271,19.942,200.699,89.97,499.453,3993.131,5069.158,4.936,91.834,30.045,38.896,405,514.798,108.105,3644.0,1628.0,247.0,72.617,51.821,1.07,2063.0,1.44e+16,4.99e+16,5.27e+17,3.01e+17,32215.606,103.547,910.0,152,1066.32,38.15,0.02,65,-2.8899999999999864,10.813692307692309,False,False,False,wet,H2O,115,9,9_2,none
0.743,12.627,14.843,20.154,202.717,90.191,500.21,4096.593,4984.011,4.998,93.718,29.932,37.617,365,531.354,107.871,3703.0,1393.0,400.0,71.758,51.203,1.117,2014.0,1.95e+16,3.4e+16,1.09e+18,2.99e+17,32325.696,102.294,907.0,157,1066.68,33.46,0.24,142,-4.850000000000023,4.963732394366198,False,False,False,dry,O2,137,9,9_3,none
1.08,14.058,14.859,19.784,200.458,89.953,505.553,4055.896,5033.979,4.979,88.999,29.887,32.54,436,505.975,106.508,3661.0,1526.0,465.0,71.067,51.726,0.97,2040.0,1.17e+16,7800000000000000.0,4.86e+17,3e+17,31723.449,103.575,900.0,155,941.24,37.85,0.09,80,-14.309999999999944,8.928875,False,False,False,dry,O2,163,9,9_4,none
