No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Target,Error_message,group_id,error_class,wafer_map_truncated,oxidation_sentinel_flag,photo_softbake_sentinel_flag,photo_litho_sentinel_flag,etching_sentinel_flag,ion_implant_sentinel_flag,any_process_sentinel_flag,oxidation_rate_nm_per_min,oxid_thickness_spec_gap,oxid_below_spec,cd_resolution_ratio,exposure_energy_per_cd_nm,line_cd_band_gap,line_cd_out_of_band,total_etch_removal,etch_rate_stage1,etch_rate_stage2,etch_rate_stage3,total_flux_60_480,anneal_temp_diff
NOLSM32513132,1,Photo,1.426,17.362,15.112,19.893,200.511,89.963,502.276,4017.015,4903.689,5.105,91.947,29.911,13,28,2025-01-05,1,photo_li,41.548,I,365,505.405,109.653,1,Etching,340.0,1522.0,3644.0,5732.0,72.628,52.08,1.188,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.856,103.513,854.0,154,2,Oxidation,dry,1214.33,O2,26.78,0.3,120,712.98,141,none,13_28,none,False,False,False,False,False,False,False,5.9415000000000004,-12.980000000000018,0,0.08220733866898824,2.639188408587658,0.0,0,5392.0,2088.0,2122.0,1182.0,1.095e+18,700.0
NOLSM32513133,1,Photo,0.73,16.015,15.083,20.035,199.876,89.988,507.132,4073.049,4979.083,4.92,91.073,30.004,13,29,2025-01-05,1,photo_li,53.649,H,405,541.691,104.946,2,Etching,265.0,1513.0,3631.0,5729.0,70.22,52.028,0.847,2,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.659,105.628,895.0,156,2,Oxidation,dry,977.98,O2,30.9,0.14,137,714.41,55,none,13_29,none,False,False,False,False,False,False,False,5.214671532846715,-14.409999999999968,0,0.09903985851712507,1.9561594810714085,0.0,0,5464.0,2098.0,2118.0,1248.0,1.3978e+18,739.0
NOLSM32513134,1,Photo,0.903,19.229,14.917,19.884,202.098,89.918,501.579,4085.002,5031.775,4.948,92.076,30.037,13,30,2025-01-05,1,photo_li,47.647,I,365,532.233,106.563,3,Etching,411.0,1568.0,3653.0,5729.0,71.14,50.705,1.152,3,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.876,102.716,898.0,152,2,Oxidation,dry,1175.95,O2,31.11,0.25,116,710.27,96,none,13_30,none,False,False,False,False,False,False,False,6.12301724137931,-10.269999999999982,0,0.08952282177166768,2.236510168531072,0.0,0,5318.0,2076.0,2085.0,1157.0,9.705e+17,746.0
NOLSM32513135,1,Photo,0.51,18.894,14.886,20.023,194.679,90.094,503.475,4045.281,4969.189,4.808,91.422,30.037,13,31,2025-01-05,1,photo_li,33.04,G,436,537.622,108.696,1,Etching,328.0,1326.0,3661.0,5718.0,71.306,51.55,1.063,1,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.435,102.902,879.0,155,2,Oxidation,dry,933.47,O2,31.2,0.29,143,710.62,105,none,13_31,none,False,False,False,False,False,False,False,4.969370629370629,-10.620000000000005,0,0.06145581840028868,3.2898305084745765,0.0,0,5390.0,2057.0,2335.0,998.0,7.5189e+17,724.0
NOLSM32513136,1,Photo,1.696,13.851,14.705,20.0,202.137,90.07,501.384,4010.123,5092.433,5.056,94.836,30.087,13,32,2025-01-05,1,photo_li,57.411,H,405,522.135,109.944,2,Etching,219.0,1451.0,3637.0,5729.0,72.982,50.681,1.12,2,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.989,101.465,882.0,155,2,Oxidation,wet,1140.6,H2O,31.38,0.2,76,711.7,79,none,13_32,none,False,False,False,False,False,False,False,9.364473684210527,-11.700000000000045,0,0.10995432215806257,1.9150337043423735,2.4110000000000014,1,5510.0,2092.0,2186.0,1232.0,1.1235e+18,727.0
NOLSM32513137,1,Photo,0.542,18.724,15.162,19.942,197.233,90.013,500.995,4030.404,4946.228,4.968,90.846,30.081,13,33,2025-01-05,1,photo_li,4.501,I,365,539.849,107.76,3,Etching,272.0,1540.0,3661.0,5704.0,70.227,51.761,1.04,3,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.682,103.769,871.0,152,2,Oxidation,dry,1311.32,O2,40.91,0.24,114,709.97,96,none,13_33,none,False,False,False,False,False,False,False,6.22780701754386,-9.970000000000027,0,0.008337516601864596,23.941346367473894,20.499,1,5432.0,2043.0,2121.0,1268.0,7.185e+17,719.0
NOLSM32513138,1,Photo,0.731,20.652,15.006,20.047,202.016,90.056,501.386,4126.107,5060.469,4.942,88.811,29.998,13,34,2025-01-05,1,photo_li,59.73,I,365,482.683,107.12,1,Etching,429.0,1624.0,3617.0,5728.0,70.642,50.94,1.068,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.387,102.896,916.0,157,2,Oxidation,dry,938.44,O2,30.24,0.2,116,714.32,115,none,13_34,none,False,False,False,False,False,False,False,6.157931034482759,-14.32000000000005,0,0.12374581246905318,1.793403649757241,4.729999999999997,1,5299.0,2111.0,1993.0,1195.0,1.3393e+18,759.0
NOLSM32513139,1,Photo,0.558,11.351,14.927,20.004,202.562,90.001,497.175,3902.577,5113.73,4.905,92.69,30.064,13,35,2025-01-05,1,photo_li,26.816,G,436,526.266,105.766,2,Etching,561.0,1478.0,3687.0,5734.0,69.557,51.814,1.14,2,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.304,104.263,891.0,153,2,Oxidation,dry,1033.84,O2,30.49,0.2,218,700.8,167,none,13_35,none,False,False,False,False,False,False,False,3.2146788990825685,-0.7999999999999545,0,0.05095522036384642,3.9441378281622916,0.0,0,5173.0,2047.0,2209.0,917.0,8.852e+17,738.0
NOLSM32513140,1,Photo,1.431,15.234,14.971,20.014,200.477,90.087,500.049,3995.3,4942.828,5.123,91.497,29.914,13,36,2025-01-05,1,photo_li,23.327,I,365,507.408,105.061,3,Etching,-45.0,1414.0,3641.0,5731.0,70.012,51.122,0.936,3,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.514,103.485,903.0,153,2,Oxidation,wet,1154.46,H2O,32.27,0.35,119,715.26,45,none,13_36,none,False,False,False,False,True,True,True,6.010588235294118,-15.259999999999991,0,0.04597286601709079,4.5038367556908305,1.6729999999999983,1,5776.0,2090.0,2227.0,1459.0,3.7151e+17,750.0
NOLSM32513141,1,Photo,0.746,12.437,15.016,20.074,203.073,90.029,501.311,4135.31,5111.295,5.073,93.014,30.067,13,37,2025-01-05,2,photo_li,60.122,G,436,508.914,106.84,1,Etching,404.0,1635.0,3653.0,5695.0,71.717,51.893,0.98,1,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.509,102.811,883.0,161,2,Oxidation,wet,992.48,H2O,35.43,0.18,-2,687.41,54,none,13_37,none,False,True,False,False,False,False,True,,12.590000000000032,1,0.1181378386132038,1.7770533249060245,5.122,1,5291.0,2042.0,2018.0,1231.0,1.195e+18,722.0
NOLSM32513142,1,Photo,1.588,19.894,14.966,20.018,199.341,89.924,496.481,4041.308,4982.683,4.951,90.173,29.846,13,38,2025-01-05,2,photo_li,53.956,G,436,492.812,110.947,2,Etching,408.0,1553.0,3651.0,5718.0,69.999,50.826,1.041,2,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.842,103.331,862.0,154,2,Oxidation,wet,1079.84,H2O,35.01,0.24,144,722.47,84,none,13_38,none,False,False,False,False,False,False,False,5.017152777777778,-22.470000000000027,0,0.10948597030916456,2.0562495366595,0.0,0,5310.0,2067.0,2098.0,1145.0,9.103e+17,708.0
NOLSM32513143,1,Photo,0.852,16.102,14.941,19.957,204.366,90.043,501.549,4052.412,5036.12,4.883,94.833,29.964,13,39,2025-01-05,2,photo_li,20.451,G,436,547.409,110.758,3,Etching,362.0,1463.0,3683.0,5698.0,71.069,51.05,0.978,3,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.165,104.466,892.0,154,2,Oxidation,wet,1032.7,H2O,38.36,0.33,58,721.54,30,none,13_39,none,False,False,False,False,False,False,False,12.440344827586205,-21.539999999999964,0,0.037359634204041224,5.415774289765781,4.5489999999999995,1,5336.0,2015.0,2220.0,1101.0,6.966e+17,738.0
NOLSM32513144,1,Photo,1.208,17.533,15.024,20.102,198.606,89.951,495.975,4029.289,5156.963,5.047,90.54,29.991,13,40,2025-01-05,2,photo_li,49.562,H,405,511.467,105.132,1,Etching,308.0,1498.0,3621.0,5732.0,71.084,51.053,1.045,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.396,103.061,902.0,158,2,Oxidation,wet,1022.39,H2O,32.89,0.03,144,708.77,48,none,13_40,none,False,False,False,False,False,True,True,4.9220138888888885,-8.769999999999982,0,0.0969016573894308,2.1212219038779714,0.0,0,5424.0,2111.0,2123.0,1190.0,8.382e+17,744.0
NOLSM32513145,1,Photo,1.689,16.547,15.103,20.097,201.779,90.015,500.476,4088.437,5019.567,4.977,93.83,30.038,13,41,2025-01-05,2,photo_li,36.501,H,405,511.344,107.645,2,Etching,604.0,1524.0,3653.0,5721.0,71.088,50.977,1.071,2,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31083.91,101.685,895.0,153,2,Oxidation,dry,1132.11,O2,38.1,0.06,119,702.45,15,none,13_41,none,False,False,False,False,False,False,False,5.902941176470589,-2.4500000000000455,0,0.07138247442035107,2.9490972850058905,0.0,0,5117.0,2068.0,2129.0,920.0,9.167e+17,742.0
