No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM32513132,1,Etching,340.0,1522.0,3644.0,5732.0,72.628,52.08,1.188,13,28,2025-01-05
NOLSM32513133,2,Etching,265.0,1513.0,3631.0,5729.0,70.22,52.028,0.847,13,29,2025-01-05
NOLSM32513134,3,Etching,411.0,1568.0,3653.0,5729.0,71.14,50.705,1.152,13,30,2025-01-05
NOLSM32513135,1,Etching,328.0,1326.0,3661.0,5718.0,71.306,51.55,1.063,13,31,2025-01-05
NOLSM32513136,2,Etching,219.0,1451.0,3637.0,5729.0,72.982,50.681,1.12,13,32,2025-01-05
NOLSM32513137,3,Etching,272.0,1540.0,3661.0,5704.0,70.227,51.761,1.04,13,33,2025-01-05
NOLSM32513138,1,Etching,429.0,1624.0,3617.0,5728.0,70.642,50.94,1.068,13,34,2025-01-05
NOLSM32513139,2,Etching,561.0,1478.0,3687.0,5734.0,69.557,51.814,1.14,13,35,2025-01-05
NOLSM32513140,3,Etching,-45.0,1414.0,3641.0,5731.0,70.012,51.122,0.936,13,36,2025-01-05
NOLSM32513141,1,Etching,404.0,1635.0,3653.0,5695.0,71.717,51.893,0.98,13,37,2025-01-05
NOLSM32513142,2,Etching,408.0,1553.0,3651.0,5718.0,69.999,50.826,1.041,13,38,2025-01-05
NOLSM32513143,3,Etching,362.0,1463.0,3683.0,5698.0,71.069,51.05,0.978,13,39,2025-01-05
NOLSM32513144,1,Etching,308.0,1498.0,3621.0,5732.0,71.084,51.053,1.045,13,40,2025-01-05
NOLSM32513145,2,Etching,604.0,1524.0,3653.0,5721.0,71.088,50.977,1.071,13,41,2025-01-05
NOLSM32513146,3,Etching,280.0,1571.0,3642.0,5711.0,71.215,50.371,1.047,13,42,2025-01-05
NOLSM32513147,1,Etching,282.0,1442.0,3636.0,5694.0,71.162,50.423,1.035,13,43,2025-01-05
NOLSM32513148,2,Etching,477.0,1561.0,3667.0,5723.0,71.15,51.201,1.137,13,44,2025-01-05
NOLSM32513149,3,Etching,350.0,1690.0,3659.0,5691.0,71.056,50.202,1.26,13,45,2025-01-05
NOLSM32513150,1,Etching,353.0,1544.0,3649.0,5706.0,71.019,51.623,0.9,13,46,2025-01-05
NOLSM32513151,2,Etching,278.0,1463.0,3673.0,5727.0,71.255,51.489,0.897,13,47,2025-01-05
NOLSM32513152,3,Etching,378.0,1616.0,3683.0,5709.0,71.196,51.335,0.902,13,48,2025-01-05
NOLSM32513153,1,Etching,317.0,1449.0,3617.0,5739.0,71.199,49.658,1.036,13,49,2025-01-05
NOLSM32513154,2,Etching,473.0,1576.0,3672.0,5738.0,71.0,51.294,0.92,13,50,2025-01-05
NOLSM32513155,3,Etching,499.0,1450.0,3649.0,5730.0,71.297,51.457,1.242,13,51,2025-01-05
NOLSM32513156,1,Etching,222.0,1390.0,3666.0,5738.0,71.394,51.344,1.095,13,52,2025-01-05
NOLSM32513157,2,Etching,41.0,1646.0,3662.0,5722.0,71.559,51.552,0.944,13,53,2025-01-05
NOLSM32513158,3,Etching,65.0,1469.0,3652.0,5725.0,71.585,50.423,0.944,13,54,2025-01-05
NOLSM32513159,1,Etching,340.0,1522.0,3644.0,5732.0,72.526,52.12,1.069,13,1,2025-01-05
NOLSM32513160,1,Etching,265.0,1513.0,3631.0,5729.0,70.303,52.06,1.146,13,2,2025-01-05
NOLSM32513161,2,Etching,411.0,1568.0,3653.0,5729.0,71.282,50.898,1.39,13,3,2025-01-05
NOLSM32513162,3,Etching,328.0,1326.0,3661.0,5718.0,71.263,51.741,0.948,13,4,2025-01-05
