No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
NOLSM32513132,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.856,103.513,854.0,154,13,28,2025-01-05
NOLSM32513133,2,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.659,105.628,895.0,156,13,29,2025-01-05
NOLSM32513134,3,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.876,102.716,898.0,152,13,30,2025-01-05
NOLSM32513135,1,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.435,102.902,879.0,155,13,31,2025-01-05
NOLSM32513136,2,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.989,101.465,882.0,155,13,32,2025-01-05
NOLSM32513137,3,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.682,103.769,871.0,152,13,33,2025-01-05
NOLSM32513138,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.387,102.896,916.0,157,13,34,2025-01-05
NOLSM32513139,2,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.304,104.263,891.0,153,13,35,2025-01-05
NOLSM32513140,3,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.514,103.485,903.0,153,13,36,2025-01-05
NOLSM32513141,1,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.509,102.811,883.0,161,13,37,2025-01-05
NOLSM32513142,2,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.842,103.331,862.0,154,13,38,2025-01-05
NOLSM32513143,3,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.165,104.466,892.0,154,13,39,2025-01-05
NOLSM32513144,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.396,103.061,902.0,158,13,40,2025-01-05
NOLSM32513145,2,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31083.91,101.685,895.0,153,13,41,2025-01-05
NOLSM32513146,3,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32254.038,102.937,904.0,155,13,42,2025-01-05
NOLSM32513147,1,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.33,102.751,882.0,155,13,43,2025-01-05
NOLSM32513148,2,Implantation,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.303,105.046,896.0,150,13,44,2025-01-05
NOLSM32513149,3,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.474,100.743,898.0,155,13,45,2025-01-05
NOLSM32513150,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.121,101.165,891.0,149,13,46,2025-01-05
NOLSM32513151,2,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.891,103.223,880.0,156,13,47,2025-01-05
NOLSM32513152,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.471,102.365,878.0,156,13,48,2025-01-05
NOLSM32513153,1,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.296,101.776,912.0,155,13,49,2025-01-05
NOLSM32513154,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.947,101.737,914.0,155,13,50,2025-01-05
NOLSM32513155,3,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.403,102.922,899.0,156,13,51,2025-01-05
NOLSM32513156,1,Implantation,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.247,102.353,903.0,157,13,52,2025-01-05
NOLSM32513157,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31221.05,104.04,879.0,155,13,53,2025-01-05
NOLSM32513158,3,Implantation,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.037,100.628,890.0,157,13,54,2025-01-05
NOLSM32513159,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.903,103.363,854.0,154,13,1,2025-01-05
NOLSM32513160,1,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.693,105.656,895.0,156,13,2,2025-01-05
NOLSM32513161,2,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.869,102.552,898.0,152,13,3,2025-01-05
NOLSM32513162,3,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.597,102.936,879.0,155,13,4,2025-01-05
NOLSM32513163,3,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.974,101.397,882.0,155,13,5,2025-01-05
NOLSM32513164,2,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.813,103.934,871.0,152,13,6,2025-01-05
NOLSM32513165,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.25,102.979,916.0,157,13,7,2025-01-05
NOLSM32513166,1,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.674,104.373,891.0,153,13,8,2025-01-05
NOLSM32513167,2,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.428,103.694,903.0,153,13,9,2025-01-05
NOLSM32513168,3,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.633,102.742,883.0,161,13,10,2025-01-05
NOLSM32513169,3,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.627,103.274,862.0,154,13,11,2025-01-05
NOLSM32513170,2,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.011,104.465,892.0,154,13,12,2025-01-05
NOLSM32513171,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.674,103.356,902.0,158,13,13,2025-01-05
NOLSM32513172,1,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.18,101.539,895.0,153,13,14,2025-01-05
NOLSM32513173,2,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.745,102.873,904.0,155,13,15,2025-01-05
NOLSM32513174,3,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.453,102.682,882.0,155,13,16,2025-01-05
NOLSM32513175,3,Implantation,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.35,105.098,896.0,150,13,17,2025-01-05
NOLSM32513176,2,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.315,100.535,898.0,155,13,18,2025-01-05
NOLSM32513177,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.015,101.29,891.0,149,13,19,2025-01-05
NOLSM32513178,1,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.889,103.156,880.0,156,13,20,2025-01-05
NOLSM32513179,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.483,101.988,878.0,156,13,21,2025-01-05
NOLSM32513180,3,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.399,101.997,912.0,155,13,22,2025-01-05
NOLSM32513181,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.756,101.399,914.0,155,13,23,2025-01-05
NOLSM32513182,1,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.28,102.944,899.0,156,13,24,2025-01-05
NOLSM32513183,1,Implantation,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.367,102.557,903.0,157,13,25,2025-01-05
NOLSM32513184,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31220.991,104.26,879.0,155,13,26,2025-01-05
NOLSM32513185,3,Implantation,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.413,100.631,890.0,157,13,27,2025-01-05
NOLSM32513186,1,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.65,100.678,899.0,151,14,28,2024-12-30
NOLSM32513187,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32014.996,103.251,874.0,155,14,29,2024-12-30
NOLSM32513188,3,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.205,103.015,882.0,158,14,30,2024-12-30
NOLSM32513189,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.998,102.67,926.0,156,14,31,2024-12-30
NOLSM32513190,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31583.928,102.498,925.0,156,14,32,2024-12-30
NOLSM32513191,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.749,104.152,914.0,156,14,33,2024-12-30
NOLSM32513192,1,Implantation,7240000000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.465,106.077,915.0,154,14,34,2024-12-30
