No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM32513132,2,Oxidation,dry,1214.33,O2,26.78,0.3,120,712.98,13,28,2025-01-05
NOLSM32513133,2,Oxidation,dry,977.98,O2,30.9,0.14,137,714.41,13,29,2025-01-05
NOLSM32513134,2,Oxidation,dry,1175.95,O2,31.11,0.25,116,710.27,13,30,2025-01-05
NOLSM32513135,2,Oxidation,dry,933.47,O2,31.2,0.29,143,710.62,13,31,2025-01-05
NOLSM32513136,2,Oxidation,wet,1140.6,H2O,31.38,0.2,76,711.7,13,32,2025-01-05
NOLSM32513137,2,Oxidation,dry,1311.32,O2,40.91,0.24,114,709.97,13,33,2025-01-05
NOLSM32513138,2,Oxidation,dry,938.44,O2,30.24,0.2,116,714.32,13,34,2025-01-05
NOLSM32513139,2,Oxidation,dry,1033.84,O2,30.49,0.2,218,700.8,13,35,2025-01-05
NOLSM32513140,2,Oxidation,wet,1154.46,H2O,32.27,0.35,119,715.26,13,36,2025-01-05
NOLSM32513141,2,Oxidation,wet,992.48,H2O,35.43,0.18,-2,687.41,13,37,2025-01-05
NOLSM32513142,2,Oxidation,wet,1079.84,H2O,35.01,0.24,144,722.47,13,38,2025-01-05
NOLSM32513143,2,Oxidation,wet,1032.7,H2O,38.36,0.33,58,721.54,13,39,2025-01-05
NOLSM32513144,2,Oxidation,wet,1022.39,H2O,32.89,0.03,144,708.77,13,40,2025-01-05
NOLSM32513145,2,Oxidation,dry,1132.11,O2,38.1,0.06,119,702.45,13,41,2025-01-05
NOLSM32513146,2,Oxidation,dry,1158.08,O2,26.74,0.16,118,702.54,13,42,2025-01-05
NOLSM32513147,2,Oxidation,dry,1128.91,O2,36.03,0.23,98,715.4,13,43,2025-01-05
NOLSM32513148,2,Oxidation,dry,937.67,O2,35.77,0.25,94,708.45,13,44,2025-01-05
NOLSM32513149,2,Oxidation,wet,1253.33,H2O,25.52,0.15,174,720.68,13,45,2025-01-05
NOLSM32513150,2,Oxidation,dry,921.13,O2,36.38,0.11,70,711.53,13,46,2025-01-05
NOLSM32513151,2,Oxidation,dry,1106.81,O2,37.68,0.17,87,705.96,13,47,2025-01-05
NOLSM32513152,2,Oxidation,dry,1168.34,O2,32.77,0.14,113,702.39,13,48,2025-01-05
NOLSM32513153,2,Oxidation,wet,1144.49,H2O,31.67,0.3,106,701.75,13,49,2025-01-05
NOLSM32513154,2,Oxidation,dry,1121.67,O2,39.45,0.17,50,712.05,13,50,2025-01-05
NOLSM32513155,2,Oxidation,wet,1264.78,H2O,32.96,0.35,112,697.02,13,51,2025-01-05
NOLSM32513156,2,Oxidation,wet,980.6,H2O,38.1,0.18,78,705.99,13,52,2025-01-05
NOLSM32513157,2,Oxidation,dry,1078.16,O2,39.94,0.21,80,707.25,13,53,2025-01-05
NOLSM32513158,2,Oxidation,dry,1053.93,O2,35.51,0.16,89,716.01,13,54,2025-01-05
NOLSM32513159,3,Oxidation,dry,1198.36,O2,26.86,0.39,120,705.1,13,1,2025-01-05
NOLSM32513160,1,Oxidation,dry,959.1,O2,30.91,0.27,137,690.72,13,2,2025-01-05
NOLSM32513161,1,Oxidation,dry,1175.52,O2,31.09,0.24,116,702.76,13,3,2025-01-05
NOLSM32513162,1,Oxidation,dry,927.52,O2,31.03,0.22,143,704.13,13,4,2025-01-05
NOLSM32513163,1,Oxidation,wet,1120.88,H2O,31.17,0.25,76,707.87,13,5,2025-01-05
NOLSM32513164,1,Oxidation,dry,1310.67,O2,40.93,0.33,114,712.09,13,6,2025-01-05
NOLSM32513165,1,Oxidation,dry,933.42,O2,30.11,0.04,116,714.55,13,7,2025-01-05
NOLSM32513166,1,Oxidation,dry,1033.46,O2,30.35,-0.02,218,700.8,13,8,2025-01-05
NOLSM32513167,1,Oxidation,wet,1136.98,H2O,32.4,0.15,119,715.42,13,9,2025-01-05
NOLSM32513168,1,Oxidation,wet,978.28,H2O,35.06,0.15,-2,687.54,13,10,2025-01-05
NOLSM32513169,2,Oxidation,wet,1077.35,H2O,35.36,0.18,144,722.72,13,11,2025-01-05
NOLSM32513170,2,Oxidation,wet,1013.45,H2O,38.21,0.16,58,721.67,13,12,2025-01-05
NOLSM32513171,2,Oxidation,wet,1014.36,H2O,32.8,0.2,144,708.72,13,13,2025-01-05
NOLSM32513172,2,Oxidation,dry,1124.58,O2,38.26,0.16,119,702.51,13,14,2025-01-05
NOLSM32513173,2,Oxidation,dry,1144.64,O2,26.74,0.18,118,702.29,13,15,2025-01-05
NOLSM32513174,2,Oxidation,dry,1127.57,O2,36.32,0.22,98,715.27,13,16,2025-01-05
NOLSM32513175,2,Oxidation,dry,919.21,O2,35.7,0.28,94,708.3,13,17,2025-01-05
NOLSM32513176,2,Oxidation,wet,1238.19,H2O,25.38,0.15,174,720.59,13,18,2025-01-05
NOLSM32513177,2,Oxidation,dry,913.91,O2,36.37,0.23,70,711.29,13,19,2025-01-05
NOLSM32513178,3,Oxidation,dry,1091.5,O2,37.37,0.09,87,706.12,13,20,2025-01-05
NOLSM32513179,3,Oxidation,dry,1149.13,O2,35.21,0.01,113,702.54,13,21,2025-01-05
NOLSM32513180,3,Oxidation,wet,1133.64,H2O,26.62,0.28,106,701.77,13,22,2025-01-05
NOLSM32513181,3,Oxidation,dry,1119.09,O2,27.46,0.27,50,711.97,13,23,2025-01-05
NOLSM32513182,3,Oxidation,wet,1263.71,H2O,31.52,0.23,112,696.95,13,24,2025-01-05
NOLSM32513183,3,Oxidation,wet,963.98,H2O,38.54,0.11,78,706.09,13,25,2025-01-05
NOLSM32513184,3,Oxidation,dry,1059.16,O2,32.81,0.12,80,707.27,13,26,2025-01-05
