No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM32513132,1,photo_li,41.548,I,365,505.405,109.653,13,28,2025-01-05
NOLSM32513133,1,photo_li,53.649,H,405,541.691,104.946,13,29,2025-01-05
NOLSM32513134,1,photo_li,47.647,I,365,532.233,106.563,13,30,2025-01-05
NOLSM32513135,1,photo_li,33.04,G,436,537.622,108.696,13,31,2025-01-05
NOLSM32513136,1,photo_li,57.411,H,405,522.135,109.944,13,32,2025-01-05
NOLSM32513137,1,photo_li,4.501,I,365,539.849,107.76,13,33,2025-01-05
NOLSM32513138,1,photo_li,59.73,I,365,482.683,107.12,13,34,2025-01-05
NOLSM32513139,1,photo_li,26.816,G,436,526.266,105.766,13,35,2025-01-05
NOLSM32513140,1,photo_li,23.327,I,365,507.408,105.061,13,36,2025-01-05
NOLSM32513141,2,photo_li,60.122,G,436,508.914,106.84,13,37,2025-01-05
NOLSM32513142,2,photo_li,53.956,G,436,492.812,110.947,13,38,2025-01-05
NOLSM32513143,2,photo_li,20.451,G,436,547.409,110.758,13,39,2025-01-05
NOLSM32513144,2,photo_li,49.562,H,405,511.467,105.132,13,40,2025-01-05
NOLSM32513145,2,photo_li,36.501,H,405,511.344,107.645,13,41,2025-01-05
NOLSM32513146,2,photo_li,32.958,G,436,515.679,109.461,13,42,2025-01-05
NOLSM32513147,2,photo_li,47.142,I,365,532.239,104.947,13,43,2025-01-05
NOLSM32513148,2,photo_li,66.562,H,405,509.481,108.344,13,44,2025-01-05
NOLSM32513149,2,photo_li,33.229,G,436,551.696,109.545,13,45,2025-01-05
NOLSM32513150,3,photo_li,42.066,I,365,512.14,108.508,13,46,2025-01-05
NOLSM32513151,3,photo_li,55.604,H,405,515.792,108.333,13,47,2025-01-05
NOLSM32513152,3,photo_li,58.574,H,405,492.596,108.219,13,48,2025-01-05
NOLSM32513153,3,photo_li,46.828,I,365,519.997,108.39,13,49,2025-01-05
NOLSM32513154,3,photo_li,43.198,I,365,498.878,109.609,13,50,2025-01-05
NOLSM32513155,3,photo_li,39.65,I,365,519.08,108.418,13,51,2025-01-05
NOLSM32513156,3,photo_li,48.877,H,405,512.473,109.243,13,52,2025-01-05
NOLSM32513157,3,photo_li,50.924,I,365,522.442,110.456,13,53,2025-01-05
NOLSM32513158,3,photo_li,49.218,H,405,508.907,108.218,13,54,2025-01-05
NOLSM32513159,3,photo_li,41.538,I,365,505.423,109.656,13,1,2025-01-05
