No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
NOLSM32513132,1,Photo,1.426,17.362,15.112,19.893,200.511,89.963,502.276,4017.015,4903.689,5.105,91.947,29.911,13,28,2025-01-05
NOLSM32513133,1,Photo,0.73,16.015,15.083,20.035,199.876,89.988,507.132,4073.049,4979.083,4.92,91.073,30.004,13,29,2025-01-05
NOLSM32513134,1,Photo,0.903,19.229,14.917,19.884,202.098,89.918,501.579,4085.002,5031.775,4.948,92.076,30.037,13,30,2025-01-05
NOLSM32513135,1,Photo,0.51,18.894,14.886,20.023,194.679,90.094,503.475,4045.281,4969.189,4.808,91.422,30.037,13,31,2025-01-05
NOLSM32513136,1,Photo,1.696,13.851,14.705,20.0,202.137,90.07,501.384,4010.123,5092.433,5.056,94.836,30.087,13,32,2025-01-05
NOLSM32513137,1,Photo,0.542,18.724,15.162,19.942,197.233,90.013,500.995,4030.404,4946.228,4.968,90.846,30.081,13,33,2025-01-05
NOLSM32513138,1,Photo,0.731,20.652,15.006,20.047,202.016,90.056,501.386,4126.107,5060.469,4.942,88.811,29.998,13,34,2025-01-05
NOLSM32513139,1,Photo,0.558,11.351,14.927,20.004,202.562,90.001,497.175,3902.577,5113.73,4.905,92.69,30.064,13,35,2025-01-05
NOLSM32513140,1,Photo,1.431,15.234,14.971,20.014,200.477,90.087,500.049,3995.3,4942.828,5.123,91.497,29.914,13,36,2025-01-05
NOLSM32513141,1,Photo,0.746,12.437,15.016,20.074,203.073,90.029,501.311,4135.31,5111.295,5.073,93.014,30.067,13,37,2025-01-05
NOLSM32513142,1,Photo,1.588,19.894,14.966,20.018,199.341,89.924,496.481,4041.308,4982.683,4.951,90.173,29.846,13,38,2025-01-05
NOLSM32513143,1,Photo,0.852,16.102,14.941,19.957,204.366,90.043,501.549,4052.412,5036.12,4.883,94.833,29.964,13,39,2025-01-05
NOLSM32513144,1,Photo,1.208,17.533,15.024,20.102,198.606,89.951,495.975,4029.289,5156.963,5.047,90.54,29.991,13,40,2025-01-05
NOLSM32513145,1,Photo,1.689,16.547,15.103,20.097,201.779,90.015,500.476,4088.437,5019.567,4.977,93.83,30.038,13,41,2025-01-05
NOLSM32513146,1,Photo,1.504,13.546,15.006,20.113,202.314,89.987,502.306,4062.149,5086.059,4.808,92.45,29.993,13,42,2025-01-05
NOLSM32513147,1,Photo,1.259,15.966,15.138,19.845,200.308,90.114,503.495,4088.422,5101.466,4.992,93.015,29.88,13,43,2025-01-05
NOLSM32513148,1,Photo,1.437,14.07,15.047,20.019,199.45,90.045,498.604,4043.103,5057.733,4.965,91.245,29.977,13,44,2025-01-05
NOLSM32513149,1,Photo,1.047,12.428,15.127,20.22,200.091,89.98,495.569,4054.042,4892.362,4.923,90.525,29.926,13,45,2025-01-05
NOLSM32513150,1,Photo,1.143,15.643,14.933,20.073,198.703,90.105,494.639,3988.781,5005.211,4.942,92.134,29.991,13,46,2025-01-05
NOLSM32513151,1,Photo,1.187,16.589,14.781,20.015,199.878,89.914,498.182,3983.666,5029.116,4.889,90.82,30.0,13,47,2025-01-05
NOLSM32513152,1,Photo,1.538,15.593,15.116,20.069,203.921,90.041,505.85,4015.446,4993.571,4.943,93.394,30.133,13,48,2025-01-05
NOLSM32513153,1,Photo,1.73,16.733,15.032,20.075,196.117,89.987,502.213,3973.865,4974.753,4.962,92.853,29.834,13,49,2025-01-05
NOLSM32513154,1,Photo,1.174,18.518,14.944,20.105,204.749,90.195,502.719,4082.572,5036.127,4.991,91.217,29.816,13,50,2025-01-05
NOLSM32513155,1,Photo,0.801,16.232,15.187,20.12,197.329,90.007,502.118,4101.115,5013.179,4.856,94.291,29.786,13,51,2025-01-05
NOLSM32513156,1,Photo,0.704,18.55,14.96,19.984,196.767,90.019,499.358,4074.562,4974.832,4.962,94.699,29.925,13,52,2025-01-05
NOLSM32513157,1,Photo,1.676,14.274,14.751,20.148,196.646,90.049,505.811,4078.084,5011.868,5.124,91.766,30.019,13,53,2025-01-05
NOLSM32513158,1,Photo,1.059,15.872,14.975,20.033,202.187,90.007,494.907,4011.234,4985.597,5.094,94.203,30.104,13,54,2025-01-05
NOLSM32513159,3,Photo,1.491,14.139,15.164,19.964,200.482,90.158,503.616,4010.671,4903.493,5.014,91.896,29.921,13,1,2025-01-05
NOLSM32513160,1,Photo,0.859,13.44,14.953,19.954,199.971,89.942,502.263,4042.587,4979.122,4.922,91.121,29.932,13,2,2025-01-05
NOLSM32513161,1,Photo,1.008,15.069,14.938,19.91,202.116,90.107,504.161,4025.921,5031.916,4.816,91.926,29.925,13,3,2025-01-05
NOLSM32513162,1,Photo,0.185,19.129,14.96,19.928,194.649,89.968,502.068,4144.371,4969.317,5.113,91.466,29.95,13,4,2025-01-05
NOLSM32513163,2,Photo,1.525,14.989,14.813,20.041,202.135,89.845,498.259,4049.785,5092.324,5.012,94.904,29.744,13,5,2025-01-05
NOLSM32513164,2,Photo,0.653,13.017,14.992,19.783,197.225,90.039,500.99,4030.102,4946.38,4.906,91.097,29.984,13,6,2025-01-05
NOLSM32513165,2,Photo,0.964,17.825,14.936,19.943,202.289,89.962,502.24,4126.306,5060.409,5.12,88.45,29.95,13,7,2025-01-05
NOLSM32513166,3,Photo,0.273,13.408,14.808,19.964,202.518,89.951,504.088,3902.596,5113.863,5.012,92.715,29.933,13,8,2025-01-05
NOLSM32513167,3,Photo,1.369,15.35,15.003,20.065,200.409,89.966,504.36,3995.147,4942.908,5.206,91.635,30.04,13,9,2025-01-05
NOLSM32513168,3,Photo,0.751,12.115,15.076,19.884,202.965,90.046,499.552,4135.402,5111.518,5.132,92.777,30.033,13,10,2025-01-05
NOLSM32513169,1,Photo,1.499,12.831,14.933,19.726,199.33,90.086,497.897,4041.08,4982.678,5.054,90.222,30.043,13,11,2025-01-05
NOLSM32513170,1,Photo,0.831,14.065,14.858,19.927,204.418,89.966,504.756,4052.231,5036.134,4.835,94.719,30.105,13,12,2025-01-05
NOLSM32513171,1,Photo,1.313,13.204,15.195,20.0,198.814,90.084,503.144,4029.323,5156.991,4.878,90.432,29.957,13,13,2025-01-05
NOLSM32513172,2,Photo,1.794,12.997,14.809,20.075,201.496,90.04,496.113,4088.347,5019.619,4.872,93.723,29.999,13,14,2025-01-05
NOLSM32513173,2,Photo,1.575,13.098,14.736,19.813,202.249,89.94,502.726,4062.097,5085.997,4.809,92.361,30.028,13,15,2025-01-05
