wafer_id,Energy_Exposure,Flux60s,Flux90s,Line_CD,N2_HMDS,Resolution,Selectivity,Source_Power,Temp_Etching,Temp_OXid,Temp_implantation,Thin F2,Thin F3,Thin F4,input_Energy,photoresist_bake,ppm,resist_target,spin3,temp_HMDS,temp_softbake,thickness,actual_defects
13_1,109.774,1.5e+16,1.32e+17,41.697,14.171,505.142,1.1,52.086,72.622,1198.49,103.451,3644.0,1522.0,340.0,30795.907,4.887,26.74,1.465,4903.509,20.162,91.862,705.18,141
13_2,104.978,1.11e+16,4.37e+16,53.684,13.642,541.856,1.005,51.965,70.318,959.18,105.638,3631.0,1513.0,265.0,32135.623,4.822,30.88,0.695,4979.009,20.081,90.923,690.88,55
13_3,106.738,1.04e+16,1.51e+16,47.672,14.909,532.175,0.768,50.836,71.366,1175.52,102.657,3653.0,1568.0,411.0,31057.786,4.786,31.08,0.906,5031.909,19.916,91.945,702.84,96
13_4,108.806,8890000000000000.0,1.02e+17,32.777,19.08,537.714,1.047,51.598,71.321,927.51,103.044,3661.0,1326.0,328.0,32140.403,5.005,30.88,0.267,4969.418,19.912,91.433,704.03,105
13_5,109.919,1.67e+16,7.88e+16,57.161,14.717,522.302,0.857,50.768,73.045,1120.92,101.336,3637.0,1451.0,219.0,31985.935,4.948,31.42,1.68,5092.272,20.065,94.766,707.94,79
13_6,107.757,1.13e+16,8.12e+16,4.574,13.057,539.655,1.012,51.702,70.353,1310.57,103.838,3661.0,1540.0,272.0,31982.63,4.837,41.11,0.645,4946.326,19.927,91.221,712.18,96
13_7,107.086,1.13e+16,1.16e+17,59.425,17.82,482.847,0.99,50.753,70.635,933.44,102.792,3617.0,1624.0,429.0,32499.183,5.132,30.18,0.999,5060.487,20.148,88.562,714.53,115
13_8,105.807,1.12e+16,7.2e+16,26.88,13.162,526.351,1.174,51.779,69.487,1033.27,104.449,3687.0,1478.0,561.0,32016.376,5.025,30.39,0.591,5113.84,19.954,92.663,700.69,167
13_9,104.997,1.45e+16,6.48e+16,23.237,15.174,507.544,1.044,51.228,70.049,1137.07,103.713,3641.0,1414.0,-45.0,31810.171,4.959,32.21,1.372,4942.759,19.979,91.6,715.27,45
13_10,107.014,1.06e+16,8.54e+16,60.041,12.411,508.973,1.03,52.009,71.501,978.14,102.851,3653.0,1635.0,404.0,31969.566,5.106,35.32,0.748,5111.385,19.995,93.066,687.47,168
13_11,111.074,1.53e+16,1.01e+17,54.093,13.009,492.648,1.197,50.751,70.279,1077.32,103.267,3651.0,1553.0,408.0,31419.94,4.952,35.26,1.49,4982.581,19.954,90.13,722.35,156
13_12,110.791,1.06e+16,1.63e+17,20.547,14.137,547.304,0.961,50.919,72.493,1013.4,104.434,3683.0,1463.0,362.0,31196.179,4.936,38.23,0.741,5036.087,20.053,94.848,721.49,112
25_1,107.983,1.87e+16,8460000000000000.0,57.402,16.364,512.367,1.13,51.202,71.796,872.87,102.796,3645.0,1436.0,224.0,32054.822,4.799,22.19,1.96,4883.364,20.084,89.65,719.36,42
25_2,106.589,3390000000000000.0,1269999999999999.8,69.137,16.88,504.698,1.135,50.552,72.17,874.35,102.106,3650.0,1392.0,187.0,32052.101,5.015,22.5,1.297,4919.115,19.96,89.341,722.6,78
25_3,106.432,1.36e+16,734000000000000.0,64.849,16.34,504.33,0.94,51.1,72.064,873.29,101.864,3659.0,1517.0,370.0,32045.605,4.912,22.22,1.698,4891.599,19.955,89.395,719.56,195
25_4,106.644,4900000000000000.0,205000000000000.2,67.397,16.702,504.301,0.971,50.628,71.867,873.48,101.929,3678.0,1607.0,236.0,32045.228,4.975,22.26,1.645,4894.351,20.037,89.451,719.39,390
25_5,105.494,2970000000000000.0,946000000000000.0,71.748,17.692,506.8,1.012,50.545,71.941,874.24,101.37,3689.0,1652.0,598.0,32045.723,4.998,22.12,1.894,4898.185,19.966,88.845,720.19,453
25_6,107.036,7790000000000000.0,3699999999999.88,62.632,16.488,503.427,1.032,50.161,71.854,872.58,100.622,3659.0,1435.0,343.0,32059.988,4.751,22.46,2.244,4849.688,20.13,89.075,716.5,237
25_7,108.03,4190000000000000.0,125000000000000.2,57.875,17.271,515.066,1.055,51.441,72.154,875.0,103.28,3691.0,1643.0,674.0,32050.527,4.864,22.44,2.057,4864.489,20.003,88.553,723.14,495
25_8,108.177,9040000000000000.0,448999999999.988,58.598,16.507,505.226,0.982,51.46,72.417,874.7,103.393,3693.0,1726.0,642.0,32053.987,4.826,22.6,2.247,4856.297,19.947,89.255,724.32,477
25_9,108.222,1.47e+16,1110000000000000.0,54.608,18.278,514.443,0.964,51.56,72.564,875.08,103.515,3692.0,1642.0,220.0,32044.823,4.981,22.25,2.106,4884.766,20.097,89.349,725.32,444
25_10,108.209,6590000000000000.0,243000000000000.1,57.427,17.332,505.556,0.961,51.22,72.256,873.82,102.769,3691.0,1591.0,664.0,32040.69,4.734,22.54,1.868,4892.986,20.059,89.347,722.98,459
25_11,108.257,1.15e+16,1.02e+17,58.145,16.066,512.697,0.97,51.413,72.322,874.1,103.331,3679.0,1611.0,482.0,32043.708,4.98,22.44,2.095,4889.248,19.868,89.551,723.26,336
25_12,108.809,1.69e+16,150000000000000.03,49.934,16.465,508.947,1.086,51.906,72.216,874.84,104.38,3672.0,1534.0,459.0,32055.912,5.115,22.56,1.158,4909.55,19.894,89.96,722.65,228
