,precision,recall,f1-score,support
Center,0.9183673469387755,0.5,0.6474820143884892,90.0
Edge-Loc,0.721763085399449,0.5087378640776699,0.5968109339407744,515.0
Edge-Ring,0.0,0.0,0.0,36.0
Loc,0.7394957983193278,0.3154121863799283,0.44221105527638194,279.0
Near-full,0.0,0.0,0.0,36.0
Random,0.7096774193548387,0.4444444444444444,0.546583850931677,99.0
Scratch,1.0,0.5714285714285714,0.7272727272727273,63.0
none,0.9646179966044143,0.9952354260089686,0.9796875538848846,14272.0
accuracy,0.9538011695906433,0.9538011695906433,0.9538011695906433,15390.0
macro avg,0.6317402058271007,0.4169073115424478,0.49250601696186685,15390.0
weighted avg,0.9461316757628738,0.9538011695906433,0.9467861370241758,15390.0
