,gain_pct
num__sim_env_temp_c,9.667981419337776
num__Flux60s,7.861127145585603
num__Flux90s,7.860371242211768
num__Thin F2,7.7504484027971
num__Thin F4,6.893797775177777
num__Flux160s,5.7065277185544065
num__Wavelength,5.363932609475711
num__temp_softbake,4.341284614753292
num__Thin F3,4.217677313025928
num__Resolution,4.132991895854453
num__spin3,3.9452165951290565
num__Thin F1,3.437704584932525
num__spin1,3.266994880907205
num__Energy_Exposure,3.1221169384077316
num__thickness,2.386192791535873
num__input_Energy,2.1681745825312815
num__Furance_Temp,1.9664630021200984
num__Temp_implantation,1.8847296764399266
num__Line_CD,1.851046578921069
num__oxid_thickness_spec_gap,1.8241976101836452
