,gain_pct
num__spin3,11.740005825044227
num__Flux60s,9.74432314883752
num__Flux90s,7.952858948557575
num__Thin F2,7.8297030197042705
num__Thin F4,6.790121275781502
num__Flux160s,5.778721295018808
num__Wavelength,5.486477065364439
num__temp_softbake,4.39926055614287
num__Resolution,4.2685689747564455
num__Thin F3,3.9613211533942363
num__Thin F1,3.4096245262824065
num__spin1,3.284293341946988
num__Energy_Exposure,3.1603860066621143
num__Temp_implantation,2.2671813685808786
num__thickness,2.166287941619233
num__N2_HMDS,2.0736891742137655
num__oxid_thickness_spec_gap,1.9021731874280892
num__spin2,1.8915852782021247
num__input_Energy,1.815023320838699
num__Furance_Temp,1.805662654823945
