,mean_abs_shap
num__Thin F2,19.96734545372584
num__Thin F4,16.252048715654286
num__Temp_OXid,8.191989588072964
num__Thin F3,7.078395925654358
num__input_Energy,2.2763037097629066
num__ppm,2.274465678735406
num__Resolution,1.7832248461355134
num__Energy_Exposure,1.7174390826076966
num__thickness,1.5773481236754154
num__oxid_thickness_spec_gap,1.4304701423585575
num__spin3,1.2846956643944898
num__Line_CD,1.1558260732053671
num__Furance_Temp,1.12350524405406
num__Temp_implantation,1.061238277826952
num__Oxid_time,1.0207792598706058
num__Flux60s,0.8904113375365561
num__temp_HMDS_bake,0.882415098522558
num__Flux90s,0.8602136302332818
num__Temp_Etching,0.8428025149187542
num__Source_Power,0.8407339119438718
