model,best_params,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,feature_set
LinearRegression,{},0.42822200616652084,0.06741638402969308,31.607028790529263,1.874902486556883,48.48815863043369,7.4341090116988395,FS_raw_thinF1to4
Ridge,{'alpha': 100.0},0.4283959428744409,0.06586907252836999,31.388729272213272,1.88838166829105,48.503612704012234,7.534432260906561,FS_raw_thinF1to4
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.5874152847242732,0.1133042750780925,25.01709708747826,1.590918903173083,40.64008519394252,7.042342497367335,FS_raw_thinF1to4
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.600162130498593,0.12704431225237955,21.362456281063,1.9507581349311867,39.86192896050497,7.890622614363426,FS_raw_thinF1to4
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.6047104850403738,0.11920001038454096,21.66188121614215,1.5250979429897447,39.66562812887727,7.355084320304504,FS_raw_thinF1to4
SVR,"{'C': 10.0, 'epsilon': 0.5}",0.41311752481797304,0.06941723138721219,29.86086998217308,2.014912672134233,49.26818668912524,8.421685075144511,FS_raw_thinF1to4
LinearRegression,{},0.42831632076189563,0.0673874237868988,31.603835291701436,1.8754090526897775,48.48414965829798,7.432582296548373,FS_delta_etchrate
Ridge,{'alpha': 100.0},0.42860352218111064,0.06644602756246713,31.43173299306094,1.8888422969580476,48.49254787505443,7.5361868259582625,FS_delta_etchrate
RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.5884118736112468,0.11355849559001018,24.917177486853326,1.5971100472026303,40.57310462728075,7.013792521886157,FS_delta_etchrate
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.600613540041652,0.1255064490227192,21.080920619205106,1.799200466939818,39.78814660515557,7.45643144972443,FS_delta_etchrate
LightGBM,"{'learning_rate': 0.1, 'n_estimators': 300, 'num_leaves': 31}",0.597580870062189,0.11832636089768608,21.91621811782735,1.6672067952654155,40.042980801048635,7.22499312474974,FS_delta_etchrate
SVR,"{'C': 10.0, 'epsilon': 1.0}",0.4050525531193957,0.06579162865928669,29.814193403802438,2.0239496201090974,49.62563768737437,8.496244806529637,FS_delta_etchrate
